日期,股票代码,股票名称,开盘价,收盘价,最高价,最低价,成交量,成交额,换手率,振幅,涨跌幅,涨跌额,主力净流入(元),小单净流入(元),中单净流入(元),大单净流入(元),超大单净流入(元),主力净流入占比(%),小单净流入占比(%),中单净流入占比(%),大单净流入占比(%),超大单净流入占比(%)
2025-07-03,600000,浦发银行,14.21,14.15,14.28,14.09,223515,316551149.0,0.07,1.34,-0.35,-0.05,,,,,,,,,,
2025-07-02,600000,浦发银行,14.2,14.2,14.4,14.1,684842,977656405.0,0.23,2.12,0.14,0.02,43139417.0,-73324670.0,30185248.0,101195072.0,-58055655.0,4.41,-7.5,3.09,10.35,-5.94
2025-07-01,600000,浦发银行,13.88,14.18,14.33,13.87,877071,1242184693.0,0.29,3.31,2.16,0.3,220151040.0,-119832758.0,-100318270.0,180297856.0,39853184.0,17.72,-9.65,-8.08,14.51,3.21
2025-06-30,600000,浦发银行,13.4,13.88,13.98,13.25,950515,1297775515.0,0.31,5.39,2.44,0.33,118629144.0,-80971425.0,-37657712.0,62874112.0,55755032.0,9.14,-6.24,-2.9,4.84,4.3
2025-06-27,600000,浦发银行,13.63,13.55,13.99,13.44,1451127,1990098971.0,0.48,4.04,-0.51,-0.07,184314832.0,-49231936.0,-135082912.0,67857744.0,116457088.0,9.26,-2.47,-6.79,3.41,5.85
2025-06-26,600000,浦发银行,13.4,13.62,13.65,13.3,663329,895310745.0,0.23,2.6,1.19,0.16,65384724.0,-91622630.0,26237909.0,-25818375.0,91203099.0,7.3,-10.23,2.93,-2.88,10.19
2025-06-25,600000,浦发银行,13.31,13.46,13.52,13.2,563299,752682259.0,0.19,2.4,1.13,0.15,66966194.0,-55977217.0,-10988978.0,6687052.0,60279142.0,8.9,-7.44,-1.46,0.89,8.01
2025-06-24,600000,浦发银行,13.31,13.31,13.54,13.16,842876,1123477728.0,0.29,2.85,0.0,0.0,-11984160.0,-62498560.0,74482720.0,6914416.0,-18898576.0,-1.07,-5.56,6.63,0.62,-1.68
2025-06-23,600000,浦发银行,12.98,13.31,13.36,12.88,810592,1067412053.0,0.28,3.69,2.23,0.29,-5211149.0,-152429588.0,157640720.0,40807961.0,-46019110.0,-0.49,-14.28,14.77,3.82,-4.31
2025-06-20,600000,浦发银行,12.78,13.02,13.02,12.73,697934,903428591.0,0.24,2.28,2.2,0.28,59630749.0,-105472596.0,45841846.0,23877060.0,35753689.0,6.6,-11.67,5.07,2.64,3.96
2025-06-19,600000,浦发银行,12.78,12.74,12.84,12.64,437681,557599593.0,0.15,1.56,-0.31,-0.04,13857825.0,-19460722.0,5602898.0,19484917.0,-5627092.0,2.49,-3.49,1.0,3.49,-1.01
2025-06-18,600000,浦发银行,12.56,12.78,12.83,12.51,698540,890776692.0,0.24,2.55,1.91,0.24,143048462.0,-60745042.0,-82303416.0,107409933.0,35638529.0,16.06,-6.82,-9.24,12.06,4.0
2025-06-17,600000,浦发银行,12.58,12.54,12.65,12.45,373698,468354086.0,0.13,1.59,-0.32,-0.04,62010247.0,-42540673.0,-19469573.0,72889116.0,-10878869.0,13.24,-9.08,-4.16,15.56,-2.32
2025-06-16,600000,浦发银行,12.34,12.58,12.6,12.21,510854,635504882.0,0.17,3.16,1.94,0.24,5863622.0,-1460180.0,-4403442.0,-31477812.0,37341434.0,0.92,-0.23,-0.69,-4.95,5.88
2025-06-13,600000,浦发银行,12.5,12.34,12.55,12.28,618449,764861363.0,0.21,2.17,-0.96,-0.12,-48285406.0,27807971.0,20477435.0,-54274439.0,5989033.0,-6.31,3.64,2.68,-7.1,0.78
2025-06-12,600000,浦发银行,12.35,12.46,12.5,12.23,476767,592474539.0,0.16,2.19,0.89,0.11,7214069.0,-35413131.0,28199061.0,-10473003.0,17687072.0,1.22,-5.98,4.76,-1.77,2.99
2025-06-11,600000,浦发银行,12.36,12.35,12.42,12.24,441141,544126475.0,0.15,1.46,-0.08,-0.01,-10363590.0,-16656185.0,27019776.0,-37600914.0,27237324.0,-1.9,-3.06,4.97,-6.91,5.01
2025-06-10,600000,浦发银行,12.28,12.36,12.45,12.26,498797,616254416.0,0.17,1.54,0.41,0.05,-45142591.0,32533496.0,12609096.0,-74631365.0,29488774.0,-7.33,5.28,2.05,-12.11,4.79
2025-06-09,600000,浦发银行,12.31,12.31,12.34,12.1,565781,691788949.0,0.19,1.95,-0.08,-0.01,-44619700.0,-22626624.0,67246323.0,-44786629.0,166929.0,-6.45,-3.27,9.72,-6.47,0.02
2025-06-06,600000,浦发银行,12.33,12.32,12.39,12.21,432402,531488384.0,0.15,1.46,0.0,0.0,-34870116.0,28342364.0,6527755.0,-19308402.0,-15561714.0,-6.56,5.33,1.23,-3.63,-2.93
2025-06-05,600000,浦发银行,12.42,12.32,12.45,12.28,370145,456671680.0,0.13,1.37,-0.48,-0.06,4186946.0,11942005.0,-16128950.0,-11113946.0,15300892.0,0.92,2.62,-3.53,-2.43,3.35
2025-06-04,600000,浦发银行,12.48,12.38,12.53,12.33,546851,677861305.0,0.19,1.59,-1.28,-0.16,19558433.0,-66879308.0,47320875.0,-15565779.0,35124212.0,2.89,-9.87,6.98,-2.3,5.18
2025-06-03,600000,浦发银行,12.31,12.54,12.57,12.23,834353,1038149397.0,0.28,2.76,1.7,0.21,224241502.0,-131190675.0,-93050816.0,176101978.0,48139524.0,21.6,-12.64,-8.96,16.96,4.64
2025-05-30,600000,浦发银行,12.2,12.33,12.41,12.17,741739,912668310.0,0.25,1.97,1.31,0.16,-25485175.0,13451264.0,12033911.0,72924470.0,-98409645.0,-2.79,1.47,1.32,7.99,-10.78
2025-05-29,600000,浦发银行,12.21,12.17,12.27,12.17,396041,483788796.0,0.13,0.82,-0.41,-0.05,70162988.0,-34540136.0,-35622852.0,58794854.0,11368134.0,14.5,-7.14,-7.36,12.15,2.35
2025-05-28,600000,浦发银行,12.2,12.22,12.33,12.13,457632,559946076.0,0.16,1.64,0.25,0.03,37604551.0,-57479009.0,19874458.0,52866568.0,-15262017.0,6.72,-10.27,3.55,9.44,-2.73
2025-05-27,600000,浦发银行,12.11,12.19,12.25,12.05,511701,622457334.0,0.17,1.66,1.16,0.14,121101028.0,-52991609.0,-68109419.0,62557012.0,58544016.0,19.46,-8.51,-10.94,10.05,9.41
