日期,主力净流入(元),小单净流入(元),中单净流入(元),大单净流入(元),超大单净流入(元),主力净流入占比(%),小单净流入占比(%),中单净流入占比(%),大单净流入占比(%),超大单净流入占比(%),收盘价_kline,涨跌幅(%),股票代码,股票名称,开盘价,收盘价_flow,最高价,最低价,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2025-05-19,16761028.0,-14026057.0,-2734971.0,15745348.0,1015680.0,2.75,-2.30,-0.45,2.58,0.17,44.15,1.52,001317,三羊马,45.98,44.15,47.84,42.10,135276,610054575.74,13.20,1.52,0.66,32.22
2025-05-16,55623946.0,-24032336.0,-31591611.0,-16020212.0,71644158.0,18.88,-8.16,-10.72,-5.44,24.32,43.49,9.99,001317,三羊马,39.19,43.49,43.49,39.19,70019,294593816.95,10.88,9.99,3.95,16.68
2025-05-15,-12908839.0,12353326.0,555513.0,-6907718.0,-6001121.0,-12.02,11.50,0.52,-6.43,-5.59,39.54,-3.37,001317,三羊马,40.79,39.54,41.17,39.45,26922,107419537.00,4.20,-3.37,-1.38,6.41
2025-05-14,14502686.0,-7657608.0,-6845078.0,11077129.0,3425557.0,9.41,-4.97,-4.44,7.19,2.22,40.92,0.76,001317,三羊马,40.60,40.92,41.52,40.12,37758,154134678.00,3.45,0.76,0.31,8.99
2025-05-13,-14626404.0,17163942.0,-2537537.0,-10351111.0,-4275293.0,-8.11,9.52,-1.41,-5.74,-2.37,40.61,-3.13,001317,三羊马,42.99,40.61,43.00,40.50,43567,180299411.40,5.96,-3.13,-1.31,10.38
2025-05-12,14755449.0,-16988963.0,2233514.0,10750741.0,4004708.0,5.79,-6.67,0.88,4.22,1.57,41.92,3.00,001317,三羊马,40.51,41.92,42.33,39.53,61918,254832512.70,6.88,3.00,1.22,14.75
2025-05-09,5577995.0,4399276.0,-9977271.0,6969269.0,-1391274.0,2.02,1.59,-3.61,2.52,-0.50,40.70,1.80,001317,三羊马,39.92,40.70,43.30,39.92,65983,276336217.05,8.45,1.80,0.72,15.72
2025-05-08,9898088.0,-2508594.0,-7389494.0,-9543039.0,19441127.0,4.92,-1.25,-3.67,-4.74,9.66,39.98,2.78,001317,三羊马,38.90,39.98,41.64,38.24,50248,201328711.85,8.74,2.78,1.08,11.97
2025-05-07,4954418.0,-909334.0,-4045084.0,16335132.0,-11380714.0,2.97,-0.54,-2.42,9.79,-6.82,38.90,2.61,001317,三羊马,39.03,38.90,40.43,38.11,42726,166885887.14,6.12,2.61,0.99,10.18
2025-05-06,-2175346.0,-139388.0,2314735.0,-3675592.0,1500246.0,-2.38,-0.15,2.53,-4.02,1.64,37.91,3.18,001317,三羊马,37.11,37.91,38.27,36.82,24211,91344295.89,3.95,3.18,1.17,5.77
2025-04-30,-4197188.0,1556178.0,2641009.0,-774640.0,-3422548.0,-5.53,2.05,3.48,-1.02,-4.51,36.74,0.11,001317,三羊马,37.07,36.74,37.69,36.69,20436,75947329.60,2.72,0.11,0.04,4.87
2025-04-29,-3014004.0,5713663.0,-2699659.0,-281359.0,-2732645.0,-4.68,8.86,-4.19,-0.44,-4.24,36.70,-0.22,001317,三羊马,36.66,36.70,37.65,36.42,17403,64453402.42,3.34,-0.22,-0.08,4.14
